freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.367e+03,1.634e+02,8.572e+01,1.616e+03
1.6,8.549e+02,1.113e+02,7.641e+01,1.043e+03
3.1,1.529e+02,2.506e+01,4.711e+01,2.250e+02
4.7,4.912e+02,2.485e+01,5.376e+01,5.698e+02
6.2,1.446e+03,2.978e+01,7.114e+01,1.547e+03
7.8,2.304e+03,3.754e+01,1.031e+02,2.444e+03
9.4,3.279e+03,4.712e+01,1.259e+02,3.452e+03
10.9,4.336e+03,5.705e+01,1.303e+02,4.523e+03
12.5,5.629e+03,5.946e+01,1.613e+02,5.849e+03
14.1,7.155e+03,6.234e+01,1.980e+02,7.415e+03
15.6,8.871e+03,6.051e+01,1.716e+02,9.103e+03
17.2,1.075e+04,6.965e+01,1.595e+02,1.098e+04
18.7,1.291e+04,7.930e+01,1.451e+02,1.314e+04
20.3,1.503e+04,7.236e+01,1.333e+02,1.524e+04
21.9,1.790e+04,6.180e+01,1.402e+02,1.810e+04
23.4,2.096e+04,5.949e+01,1.205e+02,2.114e+04
25.0,2.415e+04,7.365e+01,1.304e+02,2.436e+04
26.6,2.708e+04,7.963e+01,1.411e+02,2.730e+04
28.1,3.074e+04,8.948e+01,1.143e+02,3.094e+04
29.7,3.469e+04,1.130e+02,8.962e+01,3.489e+04
31.2,3.955e+04,1.310e+02,6.880e+01,3.975e+04
32.8,4.413e+04,1.374e+02,5.543e+01,4.433e+04
34.4,4.905e+04,1.396e+02,4.656e+01,4.924e+04
35.9,5.511e+04,1.661e+02,6.252e+01,5.534e+04
37.5,6.168e+04,2.281e+02,1.254e+02,6.204e+04
39.0,6.588e+04,2.702e+02,1.963e+02,6.635e+04
40.6,7.272e+04,2.657e+02,2.163e+02,7.320e+04
42.2,8.210e+04,3.043e+02,1.959e+02,8.260e+04
43.7,8.955e+04,3.760e+02,1.863e+02,9.011e+04
45.3,9.862e+04,4.087e+02,2.201e+02,9.925e+04
46.9,1.053e+05,5.086e+02,2.483e+02,1.060e+05
48.4,1.068e+05,7.190e+02,2.420e+02,1.077e+05
50.0,1.059e+05,8.922e+02,2.209e+02,1.070e+05
