freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.364e+01,5.105e+03,3.804e+01,5.197e+03
1.5,5.860e+01,2.874e+03,1.124e+02,3.045e+03
3.1,4.062e+01,5.263e+01,1.223e+02,2.156e+02
4.6,4.613e+01,3.828e+02,1.204e+02,5.493e+02
6.1,5.786e+01,1.326e+03,1.191e+02,1.503e+03
7.7,7.243e+01,2.186e+03,1.211e+02,2.379e+03
9.2,8.461e+01,3.212e+03,1.270e+02,3.423e+03
10.7,9.785e+01,4.531e+03,1.270e+02,4.756e+03
12.3,1.070e+02,5.902e+03,1.270e+02,6.136e+03
13.8,1.145e+02,7.563e+03,1.320e+02,7.809e+03
15.3,1.323e+02,8.795e+03,1.311e+02,9.058e+03
16.9,1.419e+02,1.055e+04,1.233e+02,1.082e+04
18.4,1.595e+02,1.227e+04,1.351e+02,1.257e+04
19.9,2.005e+02,1.417e+04,1.382e+02,1.451e+04
21.5,2.065e+02,1.678e+04,1.369e+02,1.712e+04
23.0,1.775e+02,1.974e+04,1.268e+02,2.005e+04
24.5,1.615e+02,2.345e+04,1.274e+02,2.374e+04
26.1,1.501e+02,2.856e+04,1.262e+02,2.884e+04
27.6,1.408e+02,3.309e+04,1.246e+02,3.336e+04
29.1,1.279e+02,3.625e+04,1.349e+02,3.651e+04
30.7,1.320e+02,4.160e+04,1.372e+02,4.187e+04
32.2,1.407e+02,4.764e+04,1.376e+02,4.792e+04
33.7,1.749e+02,5.412e+04,1.545e+02,5.445e+04
35.3,2.147e+02,6.353e+04,1.681e+02,6.392e+04
36.8,2.209e+02,7.556e+04,2.064e+02,7.598e+04
38.3,1.878e+02,8.418e+04,2.151e+02,8.458e+04
39.9,1.904e+02,9.206e+04,1.799e+02,9.243e+04
41.4,2.464e+02,9.861e+04,1.415e+02,9.900e+04
42.9,3.480e+02,1.120e+05,1.334e+02,1.125e+05
44.5,4.511e+02,1.332e+05,1.381e+02,1.338e+05
46.0,5.806e+02,1.555e+05,1.390e+02,1.562e+05
47.5,6.854e+02,1.798e+05,1.790e+02,1.807e+05
49.1,7.239e+02,2.203e+05,2.026e+02,2.213e+05
50.6,7.557e+02,2.762e+05,2.268e+02,2.772e+05
52.1,8.850e+02,3.073e+05,2.520e+02,3.084e+05
53.7,1.104e+03,2.972e+05,2.527e+02,2.986e+05
55.2,1.316e+03,3.363e+05,2.527e+02,3.379e+05
56.7,1.456e+03,4.147e+05,2.600e+02,4.164e+05
58.3,1.551e+03,5.166e+05,3.072e+02,5.185e+05
59.8,1.705e+03,6.508e+05,4.249e+02,6.529e+05
61.3,1.873e+03,8.219e+05,5.709e+02,8.243e+05
62.9,2.219e+03,1.047e+06,7.401e+02,1.050e+06
64.4,2.839e+03,1.425e+06,1.199e+03,1.429e+06
66.0,3.481e+03,2.042e+06,2.297e+03,2.048e+06
